dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;1;2023-07-10;240462;238059;178478;41058;24721;8500;73.3;72.6;54.4;12.5;7.5;2.6
01;2;2023-07-10;252587;250358;193060;46509;27731;9524;74.8;74.2;57.2;13.8;8.2;2.8
02;1;2023-07-10;203418;200987;156263;36645;20928;8323;79.5;78.5;61.0;14.3;8.2;3.3
02;2;2023-07-10;216456;214368;172875;42690;23726;9364;80.6;79.9;64.4;15.9;8.8;3.5
03;1;2023-07-10;130490;129153;104180;27541;15941;5679;82.0;81.1;65.4;17.3;10.0;3.6
03;2;2023-07-10;143550;142316;118489;33299;18721;6768;83.2;82.5;68.7;19.3;10.8;3.9
04;1;2023-07-10;58232;57395;43213;11369;6675;2439;72.4;71.4;53.7;14.1;8.3;3.0
04;2;2023-07-10;62362;61553;47999;12393;7134;2620;73.2;72.3;56.4;14.6;8.4;3.1
05;1;2023-07-10;53756;52996;39650;9908;5903;2087;78.1;77.0;57.6;14.4;8.6;3.0
05;2;2023-07-10;56886;56214;43549;11075;6395;2262;78.8;77.8;60.3;15.3;8.9;3.1
06;1;2023-07-10;408458;402611;303914;73992;42184;16899;78.4;77.3;58.3;14.2;8.1;3.2
06;2;2023-07-10;457477;451541;350936;87225;49248;19559;78.5;77.5;60.3;15.0;8.5;3.4
07;1;2023-07-10;122725;121287;92266;23986;14181;5044;76.0;75.1;57.1;14.8;8.8;3.1
07;2;2023-07-10;130440;129131;101828;26935;15818;5562;77.1;76.3;60.2;15.9;9.3;3.3
08;1;2023-07-10;103299;102163;80347;20375;11790;4667;79.7;78.8;62.0;15.7;9.1;3.6
08;2;2023-07-10;110163;109141;88501;23529;13066;5177;81.2;80.4;65.2;17.3;9.6;3.8
09;1;2023-07-10;55815;55110;42534;10998;6246;2163;74.5;73.6;56.8;14.7;8.3;2.9
09;2;2023-07-10;59567;58905;46708;12062;6892;2413;76.2;75.3;59.7;15.4;8.8;3.1
10;1;2023-07-10;114706;113412;88143;21131;12431;4443;75.9;75.0;58.3;14.0;8.2;2.9
10;2;2023-07-10;123781;122683;98980;25759;14834;5322;77.4;76.7;61.9;16.1;9.3;3.3
11;1;2023-07-10;139757;138010;106417;29195;17127;6619;76.5;75.5;58.3;16.0;9.4;3.6
11;2;2023-07-10;152364;150598;119722;32815;19034;7254;77.3;76.4;60.7;16.6;9.7;3.7
12;1;2023-07-10;107733;106382;82159;20085;12041;3675;77.7;76.7;59.2;14.5;8.7;2.6
12;2;2023-07-10;113458;112409;90185;22948;13561;4213;80.1;79.4;63.7;16.2;9.6;3.0
13;1;2023-07-10;717511;705926;516389;112876;67112;24052;72.9;71.7;52.5;11.5;6.8;2.4
13;2;2023-07-10;790936;779482;586942;130210;77026;26667;73.4;72.3;54.4;12.1;7.1;2.5
14;1;2023-07-10;279377;276407;219663;56423;35198;13273;83.7;82.8;65.8;16.9;10.5;4.0
14;2;2023-07-10;303644;301186;249746;70284;43548;16715;84.0;83.3;69.1;19.4;12.0;4.6
15;1;2023-07-10;58041;57528;46452;11524;6681;2151;82.7;82.0;66.2;16.4;9.5;3.1
15;2;2023-07-10;61988;61470;51386;13593;7803;2594;84.8;84.1;70.3;18.6;10.7;3.5
16;1;2023-07-10;138862;137296;109251;31839;18743;7933;82.0;81.1;64.5;18.8;11.1;4.7
16;2;2023-07-10;149626;148252;122800;38398;22649;9589;82.7;81.9;67.8;21.2;12.5;5.3
17;1;2023-07-10;268942;266056;210491;65992;40636;17541;85.5;84.6;66.9;21.0;12.9;5.6
17;2;2023-07-10;294518;291889;239199;78660;48116;20722;85.4;84.6;69.4;22.8;14.0;6.0
18;1;2023-07-10;116612;115365;92670;25989;14591;6170;81.2;80.4;64.5;18.1;10.2;4.3
18;2;2023-07-10;126195;125065;104013;31076;16947;7345;82.3;81.6;67.8;20.3;11.1;4.8
19;1;2023-07-10;94223;93223;73872;19388;11740;4263;81.4;80.6;63.8;16.8;10.1;3.7
19;2;2023-07-10;101887;100947;83083;23514;14128;5267;83.0;82.2;67.7;19.2;11.5;4.3
21;1;2023-07-10;202965;200704;155317;41137;26091;9614;78.8;77.9;60.3;16.0;10.1;3.7
21;2;2023-07-10;219275;217258;174901;49604;31259;11675;79.2;78.5;63.2;17.9;11.3;4.2
22;1;2023-07-10;248410;245573;195590;54842;33837;13131;85.5;84.5;67.3;18.9;11.6;4.5
22;2;2023-07-10;268294;265742;220541;66521;40547;15632;86.3;85.5;71.0;21.4;13.0;5.0
23;1;2023-07-10;44660;44186;35798;9907;5212;1987;80.7;79.9;64.7;17.9;9.4;3.6
23;2;2023-07-10;47779;47327;39829;11741;6012;2281;81.8;81.1;68.2;20.1;10.3;3.9
24;1;2023-07-10;161040;159006;126129;36939;21498;8852;81.4;80.4;63.7;18.7;10.9;4.5
24;2;2023-07-10;175049;173179;142505;43071;24716;10080;82.1;81.2;66.8;20.2;11.6;4.7
25;1;2023-07-10;196125;194031;144812;32518;19185;6458;73.2;72.5;54.1;12.1;7.2;2.4
25;2;2023-07-10;209176;207241;159342;38129;22112;7427;74.8;74.1;57.0;13.6;7.9;2.7
26;1;2023-07-10;192793;190554;142489;34965;20931;7611;76.0;75.2;56.2;13.8;8.3;3.0
26;2;2023-07-10;206615;204462;157437;40357;24172;8847;76.3;75.5;58.1;14.9;8.9;3.3
27;1;2023-07-10;233491;230875;178512;43229;25725;10083;80.8;79.9;61.7;15.0;8.9;3.5
27;2;2023-07-10;248486;246212;197209;50560;29829;11693;81.5;80.8;64.7;16.6;9.8;3.8
28;1;2023-07-10;167226;165346;129260;33288;19846;8123;80.0;79.1;61.8;15.9;9.5;3.9
28;2;2023-07-10;177681;175952;142671;39919;23227;9838;81.2;80.4;65.2;18.2;10.6;4.5
29;1;2023-07-10;377118;373190;300103;91176;58308;23968;84.1;83.2;66.9;20.3;13.0;5.3
29;2;2023-07-10;406372;402972;338566;113054;72011;29993;85.7;84.9;71.4;23.8;15.2;6.3
2A;1;2023-07-10;55348;54507;40786;7288;4450;1459;70.9;69.8;52.2;9.3;5.7;1.9
2A;2;2023-07-10;59256;58431;45037;7804;4676;1509;70.3;69.4;53.5;9.3;5.6;1.8
2B;1;2023-07-10;59284;58313;43934;8697;5246;1755;64.6;63.6;47.9;9.5;5.7;1.9
2B;2;2023-07-10;63965;63102;48905;9227;5517;1824;67.0;66.1;51.2;9.7;5.8;1.9
30;1;2023-07-10;281101;277301;209998;56576;34602;13339;77.4;76.4;57.8;15.6;9.5;3.7
30;2;2023-07-10;305560;301962;236983;63903;38745;14672;78.3;77.4;60.7;16.4;9.9;3.8
31;1;2023-07-10;530628;524743;395436;87858;55995;20046;75.1;74.2;55.9;12.4;7.9;2.8
31;2;2023-07-10;560640;555056;432610;103671;65282;23687;75.2;74.5;58.1;13.9;8.8;3.2
