dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;04;2023-07-10;13;6;1;0;0;0;38379.0;0.0;0.0;0.0;0.0;0.0;0.0
01;11;2023-07-10;1815;1551;120;4;17;0;18573.0;9.8;8.4;0.6;0.0;0.1;0.0
01;17;2023-07-10;44268;43391;9553;221;469;4;53871.0;82.2;80.5;17.7;0.4;0.9;0.0
01;24;2023-07-10;45376;44908;31694;800;596;7;48633.0;93.3;92.3;65.2;1.6;1.2;0.0
01;29;2023-07-10;28165;27835;18897;608;438;13;32359.0;87.0;86.0;58.4;1.9;1.4;0.0
01;39;2023-07-10;70079;69469;48600;1988;1576;61;84012.0;83.4;82.7;57.8;2.4;1.9;0.1
01;49;2023-07-10;76748;76252;60005;3676;2822;154;90129.0;85.2;84.6;66.6;4.1;3.1;0.2
01;59;2023-07-10;79211;78841;68466;10137;7003;858;91056.0;87.0;86.6;75.2;11.1;7.7;0.9
01;09;2023-07-10;1304;1048;25;0;2;0;43599.0;3.0;2.4;0.1;0.0;0.0;0.0
01;64;2023-07-10;34516;34381;31372;12343;6452;2069;39353.0;87.7;87.4;79.7;31.4;16.4;5.3
01;69;2023-07-10;31661;31518;29352;14273;8009;2802;35207.0;89.9;89.5;83.4;40.5;22.7;8.0
01;74;2023-07-10;30073;29937;28233;15734;8947;3554;33069.0;90.9;90.5;85.4;47.6;27.1;10.7
01;79;2023-07-10;19653;19529;18370;11123;6496;3081;23044.0;85.3;84.7;79.7;48.3;28.2;13.4
01;80;2023-07-10;30167;29751;26850;16660;9625;5421;34107.0;88.4;87.2;78.7;48.8;28.2;15.9
02;04;2023-07-10;8;3;1;0;0;0;26632.0;0.0;0.0;0.0;0.0;0.0;0.0
02;11;2023-07-10;1617;1313;44;3;10;0;14306.0;11.3;9.2;0.3;0.0;0.1;0.0
02;17;2023-07-10;37591;36747;9451;150;354;4;42243.0;89.0;87.0;22.4;0.4;0.8;0.0
02;24;2023-07-10;40284;39740;29815;681;543;8;40781.0;98.8;97.4;73.1;1.7;1.3;0.0
02;29;2023-07-10;23610;23262;16943;454;331;12;25334.0;93.2;91.8;66.9;1.8;1.3;0.0
02;39;2023-07-10;54940;54363;40947;1375;1054;52;60030.0;91.5;90.6;68.2;2.3;1.8;0.1
02;49;2023-07-10;59115;58740;48745;2922;2244;174;63745.0;92.7;92.1;76.5;4.6;3.5;0.3
02;59;2023-07-10;65467;65158;58007;9316;5947;986;69183.0;94.6;94.2;83.8;13.5;8.6;1.4
02;09;2023-07-10;1260;1016;8;0;0;0;32167.0;3.9;3.2;0.0;0.0;0.0;0.0
02;64;2023-07-10;32076;31940;29556;12021;5890;2384;34855.0;92.0;91.6;84.8;34.5;16.9;6.8
02;69;2023-07-10;31022;30890;28981;14160;7382;3211;33076.0;93.8;93.4;87.6;42.8;22.3;9.7
02;74;2023-07-10;29252;29105;27419;15072;8066;3729;31444.0;93.0;92.6;87.2;47.9;25.7;11.9
02;79;2023-07-10;16066;15966;14950;8794;4883;2574;19352.0;83.0;82.5;77.3;45.4;25.2;13.3
02;80;2023-07-10;27570;27115;24271;14387;7950;4553;31255.0;88.2;86.8;77.7;46.0;25.4;14.6
